Engineering  Mathematics - I,MA8151,4
Engineering Physics,PH8151 ,3
Engineering Chemistry,CY8151 ,3
Problem Solving and Python Programming ,GE8151,3
Engineering Graphics,GE8152 ,3
Problem Solving and Python Programming Laboratory,GE8161 ,3
Physics and Chemistry Laboratory,. BS8161,3
