Engineering  Mathematics - II,MA8151,4,1
Engineering Physics-I,PH8151 ,3,1
Engineering Chemistry-I,CY8151 ,3,1
Problem Solving and Python Programming-I,GE8151,3,1
Engineering Graphics-I,GE8152 ,3,1
Problem Solving and Python Programming Laboratory-I,GE8161 ,3,1
Physics and Chemistry Laboratory-I, BS8161,3,1
